Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
P23687	PPCE_PIG	reviewed	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	PREP	Sus scrofa (Pig)	710							9823.ENSSSCP00000004715;	1E5T;1E8M;1E8N;1H2W;1H2X;1H2Y;1H2Z;1O6F;1O6G;1QFM;1QFS;1UOO;1UOP;1UOQ;1VZ2;1VZ3;2XDW;3EQ7;3EQ8;3EQ9;4AMY;4AMZ;4AN0;4AN1;4AX4;4BCB;4BCC;4BCD;
Q7SIG4	DFPA_LOLVU	reviewed	Diisopropyl-fluorophosphatase (DFPase) (EC 3.1.8.2)		Loligo vulgaris (Common European squid)	314		BIOTECHNOLOGY: Has potential application in bio-remediation by detoxification of organo-phosphates used in insecticides or nerve agents used in chemical warfare such as soman, tabun and sarin. {ECO:0000269|PubMed:11134940}.			"MUTAGEN 21;  /note=""E->Q: 100% decrease in activity. Loss of calcium 1 binding."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 37;  /note=""E->Q: 50% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 77;  /note=""Q->F: 100% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 77;  /note=""Q->W: No effect on activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 77;  /note=""Q->Y: 6% increase in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 120;  /note=""N->D: 96% decrease in activity. 100% decrease in activity; when associated with N-229."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 121;  /note=""D->F: 100% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 144;  /note=""Y->S: 8% increase in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 146;  /note=""R->S: 45% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 148;  /note=""M->A: 26% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->A: 84% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->L: 28% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->S: 68% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->V: 46% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->W: 19% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 173;  /note=""F->Y: 53% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 175;  /note=""N->D: 98% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 181;  /note=""H->N: 20% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 195;  /note=""T->A: 60% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 195;  /note=""T->L: 11% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 195;  /note=""T->V: 3% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 219;  /note=""H->N: 3% increase in activity."";  /evidence=""ECO:0000269|PubMed:11295437""; MUTAGEN 224;  /note=""H->N: 14% increase in activity."";  /evidence=""ECO:0000269|PubMed:11295437""; MUTAGEN 229;  /note=""D->N: 100% decrease in activity. Loss of calcium 1 binding. 100% decrease in activity; when associated with D-120."";  /evidence=""ECO:0000269|PubMed:11435114, ECO:0000269|PubMed:15966726""; MUTAGEN 232;  /note=""D->S: 3% increase in activity. 19% decrease in activity; when associated with A-271."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 237;  /note=""N->S: 4% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 244;  /note=""W->F: 44% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 244;  /note=""W->H: 27% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 244;  /note=""W->L: 62% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 244;  /note=""W->Y: No effect on activity."";  /evidence=""ECO:0000269|PubMed:11435114""; MUTAGEN 248;  /note=""H->N: 4% increase in activity."";  /evidence=""ECO:0000269|PubMed:11295437""; MUTAGEN 271;  /note=""S->A: 30% increase in activity. 19% decrease in activity; when associated with S-232."";  /evidence=""ECO:0000269|PubMed:11435114, ECO:0000269|PubMed:15966726""; MUTAGEN 272;  /note=""N->F: 100% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 274;  /note=""H->N: 85% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->A: 90% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->F: 36% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->L: 21% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->N: 97% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->Q: 54% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->W: 44% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 287;  /note=""H->Y: 57% decrease in activity."";  /evidence=""ECO:0000269|PubMed:11295437, ECO:0000269|PubMed:15966726""; MUTAGEN 304;  /note=""Q->F: 50% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 304;  /note=""Q->W: 3% decrease in activity."";  /evidence=""ECO:0000269|PubMed:15966726""; MUTAGEN 314;  /note=""F->A: 3% increase in activity."";  /evidence=""ECO:0000269|PubMed:15966726"""			1E1A;1PJX;2GVU;2GVV;2GVW;2GVX;2IAO;2IAP;2IAQ;2IAR;2IAS;2IAT;2IAU;2IAV;2IAW;2IAX;3BYC;3HLH;3HLI;3I1C;3KGG;3LI3;3LI4;3LI5;3O4P;3U0S;4O5S;4O5T;
P63010	AP2B1_HUMAN	reviewed	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937					"MUTAGEN 815;  /note=""Y->A: Strongly reduces interaction with SNAP91, EPS15, AMPH and BIN1 and clathrin heavy chain."";  /evidence=""ECO:0000269|PubMed:16516836, ECO:0000269|PubMed:16903783""; MUTAGEN 841;  /note=""W->A: Abolishes interaction with LDLRAP1 and ARRB1. Greatly reduces DENND1B-binding."";  /evidence=""ECO:0000269|PubMed:15728179, ECO:0000269|PubMed:16516836, ECO:0000269|PubMed:16903783, ECO:0000269|PubMed:20154091""; MUTAGEN 842;  /note=""K->E: Strongly reduces interaction with ARRB1."";  /evidence=""ECO:0000269|PubMed:16903783""; MUTAGEN 849;  /note=""E->A: Strongly reduces interaction with LDLRAP1, ARRB1 and EPN1. No effect on DENND1B-binding."";  /evidence=""ECO:0000269|PubMed:11777907, ECO:0000269|PubMed:16516836, ECO:0000269|PubMed:20154091""; MUTAGEN 851;  /note=""Q->A: Strongly reduces interaction with ARRB1."";  /evidence=""ECO:0000269|PubMed:16903783""; MUTAGEN 879;  /note=""R->A: No effect on interaction with ARRB1."";  /evidence=""ECO:0000269|PubMed:10944104, ECO:0000269|PubMed:16903783""; MUTAGEN 879;  /note=""R->E: Strongly reduces interaction with EPN1. Reduces interaction with SNAP91 and clathrin. No effect on EPS15 binding."";  /evidence=""ECO:0000269|PubMed:10944104, ECO:0000269|PubMed:16903783""; MUTAGEN 888;  /note=""Y->V: Strongly reduces interaction with SNAP91, EPN1 and clathrin. No effect on EPS15 binding. Abolishes interaction with ARRB1 and with DENND1B."";  /evidence=""ECO:0000269|PubMed:10944104, ECO:0000269|PubMed:15728179, ECO:0000269|PubMed:16516836, ECO:0000269|PubMed:16903783, ECO:0000269|PubMed:20154091""; MUTAGEN 902;  /note=""E->A: Strongly reduces interaction with LDLRAP1 and ARRB1. No effect on DENND1B-binding."";  /evidence=""ECO:0000269|PubMed:11777907, ECO:0000269|PubMed:16516836, ECO:0000269|PubMed:20154091""; MUTAGEN 917;  /note=""K->Q: Strongly reduces interaction with LDLRAP1. SNAP91 and clathrin. Reduces interaction with EPN1. No effect on EPS15 binding."";  /evidence=""ECO:0000269|PubMed:10944104"""	P63010;	9606.ENSP00000482835;	1E42;2G30;2IV8;2IV9;2JKR;2JKT;2VGL;2XA7;4UQI;5M5R;6QH5;6QH6;6QH7;6URI;6YAE;6YAF;6YAH;6YAI;
P19878	NCF2_HUMAN	reviewed	Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox)	NCF2 NOXA2 P67PHOX	Homo sapiens (Human)	526			DISEASE: Granulomatous disease, chronic, cytochrome-b-positive 2, autosomal recessive (CGD2) [MIM:233710]: A form of chronic granulomatous disease, a primary immunodeficiency characterized by severe recurrent bacterial and fungal infections, along with manifestations of chronic granulomatous inflammation. It results from an impaired ability of phagocytes to mount a burst of reactive oxygen species in response to pathogens. {ECO:0000269|PubMed:10498624, ECO:0000269|PubMed:10598813, ECO:0000269|PubMed:11112388, ECO:0000269|PubMed:16937026, ECO:0000269|PubMed:18625437, ECO:0000269|PubMed:19624736, ECO:0000269|PubMed:20167518, ECO:0000269|PubMed:23910690, ECO:0000269|PubMed:8286749, ECO:0000269|PubMed:9070911}. Note=The disease is caused by variants affecting the gene represented in this entry.			P19878;	9606.ENSP00000356505;	1E96;1HH8;1K4U;1OEY;1WM5;2DMO;
P02751	FINC_HUMAN	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477			DISEASE: Glomerulopathy with fibronectin deposits 2 (GFND2) [MIM:601894]: Genetically heterogeneous autosomal dominant disorder characterized clinically by proteinuria, microscopic hematuria, and hypertension that leads to end-stage renal failure in the second to fifth decade of life. {ECO:0000269|PubMed:18268355}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Spondylometaphyseal dysplasia, corner fracture type (SMDCF) [MIM:184255]: An autosomal dominant form of spondylometaphyseal dysplasia, a group of short stature disorders distinguished by abnormalities in the vertebrae and the metaphyses of the tubular bones. SMDCF is characterized by flake-like, triangular, or curvilinear ossification centers at the edges of irregular metaphyses that simulate fractures. These corner fractures involve the distal tibia, the ulnar aspect of the distal radius, the proximal humerus, and the proximal femur. They represent irregular ossification at the growth plates and secondary ossification centers. {ECO:0000269|PubMed:29100092}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 641;  /note=""Y->A: Severely compromised ability to form fibronectin aggregates; when associated with A-681 and A-683."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 642;  /note=""I->A: Little effect on ability to form fibronectin aggregates; when associated with A-682; A-684 and A-692."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 663;  /note=""L->A: No effect on secondary structure nor on fibronectin binding nor on activation of p38 K but abolishes polymerization activity; when associated with A-666."";  /evidence=""ECO:0000269|PubMed:12946358, ECO:0000269|PubMed:19379667""; MUTAGEN 666;  /note=""Y->A: No effect on secondary structure nor on fibronectin binding nor on activation of p38 kinase but abolishes polymerization activity; when associated with A-663."";  /evidence=""ECO:0000269|PubMed:12946358, ECO:0000269|PubMed:19379667""; MUTAGEN 681;  /note=""L->A: Severely compromised ability to form fibronectin aggregates; when associated with A-641 and A-683."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 682;  /note=""I->A: Little effect on ability to form fibronectin aggregates; when associated with A-642; A-684 and A-692."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 683;  /note=""S->A: Severely compromised ability to form fibronectin aggregates; when associated with A-641 and A-681."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 684;  /note=""I->A: Little effect on ability to form fibronectin aggregates; when associated with A-642; A-682 and A-692."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 691;  /note=""E->A: Slightly enhanced ability to form fibronectin aggregates; when associated with A-694 and A-696."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 692;  /note=""V->A: Little effect on ability to form fibronectin aggregates; when associated with A-642; A-682 and A-684."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 694;  /note=""R->A: Slightly enhanced ability to form fibronectin aggregates; when associated with A-691 and A-696."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 695;  /note=""F->A: Loss of ability to form fibronectin aggregates; when associated with A-697."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 696;  /note=""D->A: Slightly enhanced ability to form fibronectin aggregates; when associated with A-691 and A-694."";  /evidence=""ECO:0000269|PubMed:12946358""; MUTAGEN 697;  /note=""F->A: Loss of ability to form fibronectin aggregates; when associated with A-695."";  /evidence=""ECO:0000269|PubMed:12946358"""	P02751;		1E88;1E8B;1FBR;1FNA;1FNF;1FNH;1J8K;1O9A;1OWW;1Q38;1QGB;1QO6;1TTF;1TTG;2CG6;2CG7;2CK2;2CKU;2EC3;2FN2;2FNB;2GEE;2H41;2H45;2HA1;2MNU;2N1K;2OCF;2RKY;2RKZ;2RL0;3CAL;3EJH;3GXE;3M7P;3MQL;3R8Q;3T1W;3ZRZ;4GH7;4JE4;4JEG;4LXO;4MMX;4MMY;4MMZ;4PZ5;5DC0;5DC4;5DC9;5DFT;5J6Z;5J7C;5M0A;5N47;5N48;6HNF;6MFA;6MSV;6NAJ;6XAX;6XAY;7NWL;
P0A6P9	ENO_ECOLI	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno b2779 JW2750	Escherichia coli (strain K12)	432					"MUTAGEN 168;  /note=""E->Q: 5% activity; not secreted."";  /evidence=""ECO:0000269|PubMed:15003462""; MUTAGEN 209;  /note=""E->Q: 1% activity; not secreted."";  /evidence=""ECO:0000269|PubMed:15003462""; MUTAGEN 342;  /note=""K->A,Q,R: 1% activity; not secreted."";  /evidence=""ECO:0000269|PubMed:15003462""; MUTAGEN 342;  /note=""K->E: 94% activity; not secreted."";  /evidence=""ECO:0000269|PubMed:15003462"""	P0A6P9;	511145.b2779;	1E9I;2FYM;3H8A;5OHG;6BFY;6BFZ;6D3Q;6NPF;
P10289	FABP6_PIG	reviewed	Gastrotropin (GT) (Fatty acid-binding protein 6) (Ileal lipid-binding protein) (ILBP) (Porcine ileal peptide) (PIP)	FABP6 ILBP ILLBP	Sus scrofa (Pig)	128							9823.ENSSSCP00000018050;	1EAL;1EIO;
Q9RHW0	Q9RHW0_BACSP	unreviewed	Pectate lyase (EC 4.2.2.2)		Bacillus sp.	224								1EE6;
Q05755	GLTB_AZOBR	reviewed	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB	Azospirillum brasilense	1515								1EA0;2VDC;6S6S;6S6T;6S6U;6S6X;
P52292	IMA1_HUMAN	reviewed	Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)	KPNA2 RCH1 SRP1	Homo sapiens (Human)	529					"MUTAGEN 2..80;  /note=""Missing: Complete loss of binding to KPNB1."";  /evidence=""ECO:0000269|PubMed:17596301"""	P52292;	9606.ENSP00000438483;	1EFX;1QGK;1QGR;3FEX;3FEY;3WPT;4E4V;4WV6;5H43;7N8J;
P08244	PYRF_ECOLI	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF b1281 JW1273	Escherichia coli (strain K12)	245						P08244;	511145.b1281;	1EIX;1JJK;1L2U;
O26232	PYRF_METTH	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF MTH_129	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	228								1DV7;1DVJ;1KLY;1KLZ;1KM0;1KM1;1KM2;1KM3;1KM4;1KM5;1KM6;1LOL;1LOQ;1LOR;1LOS;1LP6;1X1Z;2E6Y;2ZZ1;2ZZ2;2ZZ3;2ZZ4;2ZZ5;2ZZ6;2ZZ7;3G18;3G1A;3G1D;3G1F;3G1H;3G1S;3G1V;3G1X;3G1Y;3G22;3G24;3LHT;3LHU;3LHV;3LHW;3LHY;3LHZ;3LI0;3LI1;3LLD;3LLF;3LTP;3LTS;3LTY;3LV5;3LV6;3M1Z;3M41;3M43;3M44;3M47;3M5X;3M5Y;3M5Z;3NQ6;3NQ7;3NQA;3NQC;3NQD;3NQE;3NQF;3NQG;3NQM;3P5Y;3P5Z;3P60;3P61;3PBU;3PBV;3PBW;3PBY;3PC0;3QEZ;3QF0;3QMR;3QMS;3QMT;3RLU;3RLV;3SEC;3SGU;3SIZ;3SJ3;3SSJ;3SW6;3SY5;3THQ;3V1P;3W07;3WJW;3WJX;3WJY;3WJZ;3WK0;3WK1;3WK2;3WK3;4FX6;4FX8;4FXR;4GC4;4LC6;4LC8;4LW7;4NT0;4NUW;4NX5;4O11;4O8R;
P31948	STIP1_HUMAN	reviewed	Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	STIP1	Homo sapiens (Human)	543						P31948;	9606.ENSP00000351646;	1ELR;1ELW;2LNI;2NC9;3ESK;3FWV;
P06911	LCN5_RAT	reviewed	Epididymal-specific lipocalin-5 (Androgen-dependent epididymal 18.5 kDa protein) (Epididymal retinoic acid-binding protein) (E-RABP) (Epididymal secretory protein I) (ESP-I) [Cleaved into: Epididymal-specific lipocalin-5, B form; Epididymal-specific lipocalin-5, C form]	Lcn5 Erabp	Rattus norvegicus (Rat)	188							10116.ENSRNOP00000058570;	1EPA;1EPB;
P0A6D3	AROA_ECOLI	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA b0908 JW0891	Escherichia coli (strain K12)	427					"MUTAGEN 96;  /note=""G->A: Insensitive to glyphosate with unaltered affinity for its first substrate S3P, but displays a 30-fold lower affinity for its second substrate PEP."";  /evidence=""ECO:0000269|PubMed:12430021""; MUTAGEN 97;  /note=""T->I: This mutant is sensitive to glyphosate and causes a substantial decrease in the affinity for PEP. Insensitive to glyphosate but maintains high affinity for PEP. It causes a shift of residue G96 toward the glyphosate binding site, impairing efficient binding of glyphosate, while the side chain of I97 points away from the substrate binding site, facilitating PEP utilization; when associated with S-101."";  /evidence=""ECO:0000269|PubMed:19211556""; MUTAGEN 101;  /note=""P->A: Displays a slight decrease of the affinity binding for both S3P and PEP. Decreases the binding affinity of glyphosate, reducing the potency of this inhibitor."";  /evidence=""ECO:0000269|PubMed:17855366, ECO:0000269|PubMed:19211556""; MUTAGEN 101;  /note=""P->G: Displays a slight decrease of the affinity binding for both S3P and PEP. Decreases the binding affinity of glyphosate, reducing the potency of this inhibitor."";  /evidence=""ECO:0000269|PubMed:17855366, ECO:0000269|PubMed:19211556""; MUTAGEN 101;  /note=""P->L: Displays a 2-fold lower affinity binding for both S3P and PEP. Decreases the binding affinity of glyphosate, reducing the potency of this inhibitor."";  /evidence=""ECO:0000269|PubMed:17855366, ECO:0000269|PubMed:19211556""; MUTAGEN 101;  /note=""P->S: Displays a slight decrease of the affinity binding for both S3P and PEP. Decreases the binding affinity of glyphosate, reducing the potency of this inhibitor. Insensitive to glyphosate but maintains high affinity for PEP. It causes a shift of residue G96 toward the glyphosate binding site, impairing efficient binding of glyphosate, while the side chain of I97 points away from the substrate-binding site, facilitating PEP utilization; when associated with I-97."";  /evidence=""ECO:0000269|PubMed:17855366, ECO:0000269|PubMed:19211556""; MUTAGEN 313;  /note=""D->A: The enolpyruvyl transfer reaction is halted after formation of the tetrahedral adduct of the substrates."";  /evidence=""ECO:0000269|PubMed:13129913"""	P0A6D3;	511145.b0908;	1EPS;1G6S;1G6T;1MI4;1P88;1P89;1Q0I;1Q0J;1Q36;1X8R;1X8T;2AA9;2AAY;2PQ9;2QFQ;2QFS;2QFT;2QFU;3FJX;3FJZ;3FK0;3FK1;
P18902	RET4_BOVIN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	RBP4	Bos taurus (Bovine)	183							9913.ENSBTAP00000000566;	1ERB;1FEL;1FEM;1FEN;1HBP;1HBQ;1KT3;1KT4;1KT5;1KT6;1KT7;
P52293	IMA1_MOUSE	reviewed	Importin subunit alpha-1 (Importin alpha P1) (Karyopherin subunit alpha-2) (Pendulin) (Pore targeting complex 58 kDa subunit) (PTAC58) (RAG cohort protein 1) (SRP1-alpha)	Kpna2 Rch1	Mus musculus (Mouse)	529						P52293;	10090.ENSMUSP00000137310;	1EJL;1EJY;1IAL;1IQ1;1PJM;1PJN;1Q1S;1Q1T;1Y2A;2C1M;2YNR;3BTR;3KND;3L3Q;3OQS;3Q5U;3RZ9;3RZX;3TPM;3TPO;3UKW;3UKX;3UKY;3UKZ;3UL0;3UL1;3UVU;3VE6;3ZIN;3ZIO;3ZIP;3ZIQ;3ZIR;4BA3;4HTV;4MZ5;4MZ6;4OIH;4U54;4U58;4U5L;4U5N;4U5O;4U5S;4U5U;4U5V;4UAF;4YI0;4ZDU;5B56;5CTT;5D5K;5E6Q;5EKF;5EKG;5FC8;5GXW;5HHG;5HUW;5HUY;5K9S;5KLR;5KLT;5SVZ;5U5P;5U5R;5UMZ;5V5O;5V5P;5W41;5W4E;5W4F;5W4G;5WUM;5WUN;5X8N;6BVT;6BW0;6BW1;6D7M;6D7N;6IU7;6IUA;6IW8;6IWA;6K06;6MJL;6P6A;6P6E;6WX7;7JJM;7JK7;7JVO;7L04;
